key,price,remaining
117568|||B Blok-Protokol,3750.0,0
117568|||C Blok-Protokol,3750.0,43
117568|||F Blok-1.Kategori,2750.0,167
117568|||L Blok-3.Kategori,1500.0,173
117568|||K Blok-2.Kategori,1750.0,102
117568|||L Blok-2.Kategori,1750.0,108
117568|||M Blok-4.Kategori,1250.0,9
117568|||J Blok-4.Kategori,1250.0,61
117568|||J Blok-5.Kategori,1150.0,5
117568|||N Blok-6.Kategori,1000.0,0
117568|||I Blok-6.Kategori,1000.0,0
117569|||Sahne Önü Ayakta ,1250.0,2523
117569|||Saha İçi Ayakta,750.0,7070
138351|||Protokol,4000.0,62
138351|||B Blok-1.Kategori,2750.0,116
138351|||A Blok-1.Kategori,2750.0,155
138351|||D Blok-2.Kategori,2250.0,108
138351|||E Blok-2.Kategori,2250.0,172
138351|||A1 Blok-3.Kategori,1750.0,67
138351|||B1 Blok-3.Kategori,1750.0,71
138351|||D Blok-3.Kategori,1750.0,97
138351|||E Blok-3.Kategori,1750.0,176
138351|||A1 Blok-4.Kategori,1500.0,61
138351|||C Blok-5.Kategori,1250.0,56
138351|||F Blok-5.Kategori,1250.0,205
138351|||F Blok-6.Kategori,1000.0,198
138351|||C Blok-6.Kategori,1000.0,35
117570|||Sahne Önü Ayakta ,1250.0,2489
117570|||Saha İçi Ayakta,750.0,6992
117573|||Protokol Sağ,3750.0,25
117573|||Protokol Sol,3750.0,39
117573|||Sahne Önü Sağ-1.Kategori,2750.0,264
117573|||Sahne Önü Sol-1.Kategori,2750.0,116
117573|||Saha İçi Sağ Ön-2.Kategori,1750.0,151
117573|||Saha İçi Sol Ön-2.Kategori,1750.0,71
117573|||Saha İçi Sol Arka-3.Kategori,1250.0,431
117573|||Saha İçi Sağ Arka-3.Kategori,1250.0,299
117573|||A Blok-4.Kategori,750.0,320
117573|||B Blok-4.Kategori,750.0,519
117573|||F Blok-4.Kategori,750.0,516
117573|||G Blok-4.Kategori,750.0,494
117573|||H Blok-4.Kategori,750.0,365
139044|||VIP,4250.0,170
139044|||Parter 2-1.Kategori,2750.0,229
139044|||Parter 1-2.Kategori,2250.0,80
139044|||Parter 3-2.Kategori,2250.0,96
139044|||Parter 5-2.Kategori,2250.0,150
139044|||Parter 1-3.Kategori,1750.0,118
139044|||Parter 1-4.Kategori,1250.0,63
139044|||Parter 3-4.Kategori,1250.0,61
139044|||Parter 6.4.Kategori,1250.0,333
139044|||Parter 5-4.Kategori,1250.0,394
139044|||Parter 6-5.Kategori,900.0,153
139044|||Parter 3-3.Kategori,1750.0,153
139044|||Parter 4-4.Kategori,1250.0,241
139044|||Parter 4-5.Kategori,900.0,28
137328|||Protokol,5250.0,0
137328|||C Blok Orta-1.Kategori,3000.0,0
137328|||M Blok-3.Kategori,1850.0,57
137328|||L Blok-3.Kategori,1850.0,70
137328|||K Blok-3.Kategori,1850.0,53
137328|||H Blok-3.Kategori,1850.0,67
137328|||N Blok-4.Kategori,1650.0,37
137328|||L Blok-4.Kategori,1650.0,4
137328|||K Blok-4.Kategori,1650.0,6
137328|||H Blok-4.Kategori,1650.0,114
137328|||G Blok-4.Kategori,1650.0,79
137328|||N Blok-5.Kategori,1450.0,12
137328|||P Blok-6.Kategori,1250.0,0
140188|||Protokol,5250.0,28
140188|||C Blok Sağ-1.Kategori,3000.0,47
140188|||C Blok Sol-1.Kategori,3000.0,46
140188|||C Blok Orta-1.Kategori,3000.0,53
140188|||E Blok-2.Kategori,2250.0,91
140188|||D Blok-2.Kategori,2250.0,76
140188|||A Blok-2.Kategori,2250.0,53
140188|||M Blok-3.Kategori,1850.0,151
140188|||L Blok-3.Kategori,1850.0,213
140188|||K Blok-3.Kategori,1850.0,194
140188|||H Blok-3.Kategori,1850.0,142
140188|||N Blok-4.Kategori,1650.0,119
140188|||L Blok-4.Kategori,1650.0,95
140188|||K Blok-4.Kategori,1650.0,103
140188|||H Blok-4.Kategori,1650.0,199
140188|||G Blok-4.Kategori,1650.0,137
140188|||N Blok-5.Kategori,1450.0,185
140188|||P Blok-6.Kategori,1250.0,267
137712|||Protokol,4500.0,40
137712|||A3 Blok-1.Kategori,3000.0,62
137712|||A4 Blok-1.Kategori,3000.0,7
137712|||A5 Blok-1.Kategori,3000.0,45
137712|||B4 Blok-2.Kategori,2750.0,60
137712|||B5 Blok-2.Kategori,2750.0,72
137712|||A2 Blok-3.Kategori,2500.0,77
137712|||A6 Blok-3.Kategori,2500.0,63
137712|||B3 Blok-3.Kategori,2500.0,94
137712|||B6 Blok-3.Kategori,2500.0,80
137712|||B2 Blok-4.Kategori,2000.0,52
137712|||B7 Blok-4.Kategori,2000.0,58
137712|||C4 Blok-4.Kategori,2000.0,273
137712|||C5 Blok-4.Kategori,2000.0,253
137712|||B1 Blok-5.Kategori,1500.0,58
137712|||B8 Blok-5.Kategori,1500.0,63
137712|||C3 Blok-5.Kategori,1500.0,193
137712|||C6 Blok-5.Kategori,1500.0,204
137712|||A1 Blok-6.Kategori,1000.0,4
137712|||A7 Blok-6.Kategori,1000.0,40
137712|||C1 Blok-6.Kategori,1000.0,170
137712|||C2 Blok-6.Kategori,1000.0,165
137712|||C7 Blok-6.Kategori,1000.0,178
137712|||C8 Blok-6.Kategori,1000.0,170
141360|||Protokol B,5000.0,20
141360|||Protokol A,5000.0,38
141360|||Protokol B-VIP,4000.0,200
141360|||Protokol A-VIP,4000.0,200
141360|||B Tek-1.Kategori,3000.0,115
141360|||B Çift-1.Kategori,3000.0,106
141360|||A Tek-2.Kategori,2500.0,180
141360|||A Çift-2.Kategori,2500.0,179
141360|||B Tek-2.Kategori,2500.0,122
141360|||B Çift-2.Kategori,2500.0,107
141360|||A Tek-3.Kategori,2000.0,117
141360|||A Çift-3.Kategori,2000.0,127
141360|||D Çift-3.Kategori,2000.0,135
141360|||D Tek-3.Kategori,2000.0,147
141360|||D Çift-4.Kategori,1500.0,102
141360|||D Tek-4.Kategori,1500.0,150
141360|||C Çift-5.Kategori,1250.0,384
141360|||C Tek-5.Kategori,1250.0,400
141619|||E Çift-Numarasız,1000.0,550
141619|||E Tek-Numarasız,1000.0,547
118677|||1.Avantajlı Dönem-Kombine,680.0,0
118677|||2.Avantajlı Dönem-Kombine,1250.0,0
118677|||3.Avantajlı Dönem-Kombine,1550.0,929
132601|||Günlük Bilet,1050.0,91
132602|||Günlük Bilet,1050.0,86
132603|||Günlük Bilet,1050.0,96
124885|||Genel Giriş,57500.0,60
127015|||VIP - B Blok,1950.0,0
127015|||VIP - A Blok,1950.0,18
127015|||VIP - C Blok,1950.0,0
127015|||1. Kategori - B Blok,1250.0,126
127015|||1. Kategori - C Blok,1250.0,103
127015|||1. Kategori - A Blok,1250.0,86
127015|||2. Kategori - C Blok,1100.0,129
127015|||2. Kategori - A Blok,1100.0,120
127015|||2. Kategori - F Blok,1100.0,35
127015|||2. Kategori - G Blok,1100.0,76
127015|||2. Kategori - E Blok,1100.0,74
127015|||3. Kategori - F Blok,950.0,38
127015|||3. Kategori - E Blok,950.0,108
127015|||3. Kategori - G Blok,950.0,131
127015|||4. Kategori - G Blok,800.0,40
127015|||4. Kategori - E Blok,800.0,19
127015|||4. Kategori - D Blok,800.0,146
127015|||4. Kategori - H Blok,800.0,162
127015|||5. Kategori - H Blok,650.0,136
127015|||5. Kategori - D Blok,650.0,151
127015|||6. Kategori - H Blok,550.0,0
127015|||6. Kategori - D Blok,550.0,0
126679|||A Blok-VIP,1950.0,14
126679|||B Blok-VIP,1950.0,0
126679|||C Blok-VIP,1950.0,6
126679|||A Blok-1.Kategori,1250.0,17
126679|||C Blok-1.Kategori,1250.0,12
126679|||E Blok-1.Kategori,1250.0,58
126679|||F Blok-1.Kategori,1250.0,204
126679|||G Blok-1.Kategori,1250.0,63
126679|||E Blok-2.Kategori,1100.0,107
126679|||G Blok-2.Kategori,1100.0,120
126679|||K Blok-2.Kategori,1100.0,159
126679|||L Blok-2.Kategori,1100.0,160
126679|||D Blok-3.Kategori,950.0,135
126679|||H Blok-3.Kategori,950.0,118
126679|||J Blok-3.Kategori,950.0,179
126679|||K Blok-3.Kategori,950.0,140
126679|||L Blok-3.Kategori,950.0,141
126679|||M Blok-3.Kategori,950.0,169
126679|||D Blok-4.Kategori,800.0,41
126679|||H Blok-4.Kategori,800.0,44
126679|||J Blok-4.Kategori,800.0,118
126679|||K Blok-4.Kategori,800.0,78
126679|||L Blok-4.Kategori,800.0,81
126679|||M Blok-4.Kategori,800.0,118
126679|||I Blok-5.Kategori,650.0,92
126679|||J Blok-5.Kategori,650.0,28
126679|||M Blok-5.Kategori,650.0,21
126679|||N Blok-5.Kategori,650.0,114
126679|||I Blok-6.Kategori,550.0,0
126679|||N Blok-6.Kategori,550.0,0
126839|||E Blok-VIP,1950.0,105
126839|||D Blok-VIP,1950.0,85
126839|||G Blok-1.Kategori ,1250.0,116
