promoter,event_title,event_date,venue_name,timestamp
Heim Productions,ABOVE CLOUDS,2025-05-24T15:00:00.000Z,JW Marriott Hotel Ankara,2025-05-24T15:00:00.000Z
ACTION,Röyksopp DJ Set,2025-06-08T19:00:00.000Z,Holly Stone Beyoğlu Fitaş Sahnesi,2025-06-08T19:00:00.000Z
Savanna,Portal to Paradise Series w/ Eli &Fur,2025-09-05T19:00:00.000Z,Ankara Check the Location,2025-09-05T19:00:00.000Z
Savanna,Portal to Techno w / Indira Paganotto,2025-06-15T15:00:00.000Z,Life Park,2025-06-15T15:00:00.000Z
Event Master Co.,KOBOSIL x EVENT MASTER ,2025-06-05T18:00:00.000Z,Klein Phönix,2025-06-05T18:00:00.000Z
The Crow Project,The Crow Project presents: A*S*Y*S + Kntrlvrlst,2025-06-20T19:30:00.000Z,Holly Stone Beyoğlu Fitaş Sahnesi,2025-06-20T19:30:00.000Z
Jurey Events,JUREY PRESENTS: CRISTOBAL PESCE,2025-06-28T19:30:00.000Z,Holly Stone Beyoğlu Fitaş Sahnesi,2025-06-28T19:30:00.000Z
Jurey Events,DARKRUSH,2025-06-06T09:00:00.000Z,Holly Stone Beyoğlu Fitaş Sahnesi,2025-06-06T09:00:00.000Z
Holly Stone ,Gaye Su Akyol,2025-06-13T17:00:00.000Z,Holly Stone Beyoğlu Fitaş Sahnesi,2025-06-13T17:00:00.000Z
Holly Stone ,Soner Sarıkabadayı,2025-05-31T17:00:00.000Z,Holly Stone Beyoğlu Fitaş Sahnesi,2025-05-31T17:00:00.000Z
Holly Stone ,Birsen Tezer,2025-05-28T17:00:00.000Z,Holly Stone Beyoğlu Fitaş Sahnesi,2025-05-28T17:00:00.000Z
Barboat,Techno Dampfer Istanbul w/ Moonbotica,2025-09-20T15:30:00.000Z,Karaköy Pier,2025-09-20T15:30:00.000Z
Barboat,Techno Dampfer Istanbul w/ Thomas Schumacher,2025-08-16T15:30:00.000Z,Karaköy Pier,2025-08-16T15:30:00.000Z
Barboat,Techno Dampfer Istanbul w/ Einmusik,2025-06-14T15:30:00.000Z,Karaköy Pier,2025-06-14T15:30:00.000Z
Linda Agency,Linda Presents: Boris Brejcha,2025-05-31T14:00:00.000Z,CerModern,2025-05-31T14:00:00.000Z
