event_name,venue_name,event_date,category_name,price,remaining_tickets,ticket_active,seansID,scrape_time
Mahsun Kırmızıgül,Harbiye Cemil Topuzlu Açıkhava Tiyatrosu,2025-09-06T18:00:00+00:00,Protokol,7700.0,10,True,141409,2025-06-01 17:45:38
Mahsun Kırmızıgül,Harbiye Cemil Topuzlu Açıkhava Tiyatrosu,2025-09-06T18:00:00+00:00,C Blok Orta-1. Kategori,4950.0,2,True,141409,2025-06-01 17:45:38
Mahsun Kırmızıgül,Harbiye Cemil Topuzlu Açıkhava Tiyatrosu,2025-09-06T18:00:00+00:00,C Blok Sağ-1. Kategori,4950.0,33,True,141409,2025-06-01 17:45:38
Mahsun Kırmızıgül,Harbiye Cemil Topuzlu Açıkhava Tiyatrosu,2025-09-06T18:00:00+00:00,B Blok-2. Kategori,3300.0,91,True,141409,2025-06-01 17:45:38
Mahsun Kırmızıgül,Harbiye Cemil Topuzlu Açıkhava Tiyatrosu,2025-09-06T18:00:00+00:00,A Blok-3. Kategori,2750.0,190,True,141409,2025-06-01 17:45:38
Mahsun Kırmızıgül,Harbiye Cemil Topuzlu Açıkhava Tiyatrosu,2025-09-06T18:00:00+00:00,K Blok-4. Kategori,2475.0,105,True,141409,2025-06-01 17:45:38
Mahsun Kırmızıgül,Harbiye Cemil Topuzlu Açıkhava Tiyatrosu,2025-09-06T18:00:00+00:00,K Blok-5. Kategori,2200.0,170,True,141409,2025-06-01 17:45:38
Mahsun Kırmızıgül,Harbiye Cemil Topuzlu Açıkhava Tiyatrosu,2025-09-06T18:00:00+00:00,H Blok-5. Kategori,2200.0,105,True,141409,2025-06-01 17:45:38
Mahsun Kırmızıgül,Harbiye Cemil Topuzlu Açıkhava Tiyatrosu,2025-09-06T18:00:00+00:00,H Blok-6. Kategori,1650.0,92,True,141409,2025-06-01 17:45:38
Mahsun Kırmızıgül,Harbiye Cemil Topuzlu Açıkhava Tiyatrosu,2025-09-06T18:00:00+00:00,G Blok-5. Kategori,2200.0,148,True,141409,2025-06-01 17:45:38
Mahsun Kırmızıgül,Harbiye Cemil Topuzlu Açıkhava Tiyatrosu,2025-09-06T18:00:00+00:00,G Blok-6. Kategori,1650.0,177,True,141409,2025-06-01 17:45:38
Mahsun Kırmızıgül,Harbiye Cemil Topuzlu Açıkhava Tiyatrosu,2025-09-06T18:00:00+00:00,F Blok-6. Kategori,1650.0,116,True,141409,2025-06-01 17:45:38
Mahsun Kırmızıgül,Harbiye Cemil Topuzlu Açıkhava Tiyatrosu,2025-09-06T18:00:00+00:00,F Blok-7. Kategori,1375.0,5,True,141409,2025-06-01 17:45:38
Mahsun Kırmızıgül,Harbiye Cemil Topuzlu Açıkhava Tiyatrosu,2025-09-06T18:00:00+00:00,F Blok-8. Kategori,935.0,0,True,141409,2025-06-01 17:45:38
MANIFESTIVAL,Life Park,2025-06-28T10:00:00+00:00,Son Avantajlı Dönem-Saha İçi,900.0,0,True,133429,2025-06-01 17:45:38
MANIFESTIVAL,Life Park,2025-06-28T10:00:00+00:00,Son Avantajlı Dönem-Sahne Önü,1750.0,0,True,133429,2025-06-01 17:45:38
MANIFESTIVAL,Life Park,2025-06-28T10:00:00+00:00,Sınırlı Ek Kontenjan-Saha İçi,1500.0,0,True,133429,2025-06-01 17:45:38
MANIFESTIVAL,Life Park,2025-06-29T10:00:00+00:00,Son Avantajlı Dönem-Sahne Önü,1750.0,0,True,133430,2025-06-01 17:45:38
MANIFESTIVAL,Life Park,2025-06-29T10:00:00+00:00,Son Avantajlı Dönem-Saha İçi,900.0,0,True,133430,2025-06-01 17:45:38
MANIFESTIVAL,Life Park,2025-06-29T10:00:00+00:00,Sınırlı Ek Kontenjan-Saha İçi,1500.0,-1,True,133430,2025-06-01 17:45:38
MANIFESTIVAL,Life Park,2025-06-28T10:00:00+00:00,Son Avantajlı Dönem-Saha İçi-Kombine,1500.0,0,True,133431,2025-06-01 17:45:39
MANIFESTIVAL,Life Park,2025-06-28T10:00:00+00:00,Son Avantajlı Dönem-Sahne Önü-Kombine,2950.0,0,True,133431,2025-06-01 17:45:39
MANIFESTIVAL,Life Park,2025-06-28T10:00:00+00:00,Sınırlı Ek Kontenjan-Saha İçi-Kombine,2900.0,171,True,133431,2025-06-01 17:45:39
MANIFESTIVAL,Life Park,2025-06-29T10:00:00+00:00,+1 Bilet,900.0,0,True,140889,2025-06-01 17:45:39
Haluk Levent - 30. Yıl Konseri,Harbiye Cemil Topuzlu Açıkhava Tiyatrosu,2025-06-28T18:00:00+00:00,1.Kategori-D Blok,2500.0,0,True,138828,2025-06-01 17:45:39
Haluk Levent - 30. Yıl Konseri,Harbiye Cemil Topuzlu Açıkhava Tiyatrosu,2025-06-28T18:00:00+00:00,1.Kategori-C Blok Sol,2500.0,1,True,138828,2025-06-01 17:45:39
Haluk Levent - 30. Yıl Konseri,Harbiye Cemil Topuzlu Açıkhava Tiyatrosu,2025-06-28T18:00:00+00:00,2.Kategori-D Blok,1800.0,3,True,138828,2025-06-01 17:45:39
Haluk Levent - 30. Yıl Konseri,Harbiye Cemil Topuzlu Açıkhava Tiyatrosu,2025-06-28T18:00:00+00:00,2.Kategori-E Blok,1800.0,34,True,138828,2025-06-01 17:45:39
Haluk Levent - 30. Yıl Konseri,Harbiye Cemil Topuzlu Açıkhava Tiyatrosu,2025-06-28T18:00:00+00:00,3.Kategori-E Blok,1600.0,162,True,138828,2025-06-01 17:45:39
Haluk Levent - 30. Yıl Konseri,Harbiye Cemil Topuzlu Açıkhava Tiyatrosu,2025-06-28T18:00:00+00:00,3.Kategori-M Blok,1600.0,79,True,138828,2025-06-01 17:45:39
Haluk Levent - 30. Yıl Konseri,Harbiye Cemil Topuzlu Açıkhava Tiyatrosu,2025-06-28T18:00:00+00:00,4.Kategori-M Blok,1400.0,165,True,138828,2025-06-01 17:45:39
Haluk Levent - 30. Yıl Konseri,Harbiye Cemil Topuzlu Açıkhava Tiyatrosu,2025-06-28T18:00:00+00:00,4.Kategori-N Blok,1400.0,96,True,138828,2025-06-01 17:45:39
Haluk Levent - 30. Yıl Konseri,Harbiye Cemil Topuzlu Açıkhava Tiyatrosu,2025-06-28T18:00:00+00:00,5.Kategori-N Blok,1200.0,129,True,138828,2025-06-01 17:45:39
Haluk Levent - 30. Yıl Konseri,Harbiye Cemil Topuzlu Açıkhava Tiyatrosu,2025-06-28T18:00:00+00:00,6.Kategori-P Blok,1000.0,66,True,138828,2025-06-01 17:45:39
Haluk Levent - 30. Yıl Konseri,Harbiye Cemil Topuzlu Açıkhava Tiyatrosu,2025-06-28T18:00:00+00:00,7.Kategori-P Blok,750.0,0,True,138828,2025-06-01 17:45:39
Haluk Levent - 30. Yıl Konseri,Harbiye Cemil Topuzlu Açıkhava Tiyatrosu,2025-06-28T18:00:00+00:00,Protokol,5500.0,44,True,138828,2025-06-01 17:45:39
We Are Young Festival,Festival Park Kadıköy,2025-06-26T12:00:00+00:00,Kombine Bilet ,999.0,4998,True,141771,2025-06-01 17:45:39
We Are Young Festival,Festival Park Kadıköy,2025-06-26T12:00:00+00:00,Günlük Giriş Bileti ,350.0,2995,True,141772,2025-06-01 17:45:40
We Are Young Festival,Festival Park Kadıköy,2025-06-27T12:00:00+00:00,Günlük Giriş Bileti ,350.0,2987,True,141773,2025-06-01 17:45:40
We Are Young Festival,Festival Park Kadıköy,2025-06-28T12:00:00+00:00,Günlük Giriş Bileti ,350.0,2992,True,141774,2025-06-01 17:45:40
We Are Young Festival,Festival Park Kadıköy,2025-06-29T12:00:00+00:00,Günlük Giriş Bileti ,350.0,2997,True,141775,2025-06-01 17:45:41
Edis & Aleyna Tilki - İstanbul Festivali,Festival Park Yenikapı,2025-08-02T13:00:00+00:00,Genel İzleyici,500.0,9815,True,137726,2025-06-01 17:45:41
Edis & Aleyna Tilki - İstanbul Festivali,Festival Park Yenikapı,2025-08-02T13:00:00+00:00,Sahne Önü B,750.0,2806,True,137726,2025-06-01 17:45:41
Edis & Aleyna Tilki - İstanbul Festivali,Festival Park Yenikapı,2025-08-02T13:00:00+00:00,Sahne Önü A,1000.0,873,True,137726,2025-06-01 17:45:41
Edis & Aleyna Tilki - İstanbul Festivali,Festival Park Yenikapı,2025-08-02T13:00:00+00:00,VIP,1550.0,163,True,137726,2025-06-01 17:45:41
Mert Demir İstanbul Konseri,KüçükÇiftlik Park,2025-08-16T15:00:00+00:00,VIP  ,2500.0,79,True,118872,2025-06-01 17:45:41
Mert Demir İstanbul Konseri,KüçükÇiftlik Park,2025-08-16T15:00:00+00:00,2. Dönem - Genel Giriş,750.0,1885,True,118872,2025-06-01 17:45:41
Mert Demir İstanbul Konseri,KüçükÇiftlik Park,2025-08-16T15:00:00+00:00,1. Dönem - Genel Giriş,650.0,0,True,118872,2025-06-01 17:45:41
Mert Demir İstanbul Konseri,KüçükÇiftlik Park,2025-08-16T15:00:00+00:00,Genel Giriş - Öğrenci Bileti,400.0,0,True,118872,2025-06-01 17:45:41
Melike Şahin & Emre Fel - İstanbul Festivali,Festival Park Yenikapı,2025-08-03T13:00:00+00:00,Genel İzleyici,500.0,9701,True,138195,2025-06-01 17:45:41
Melike Şahin & Emre Fel - İstanbul Festivali,Festival Park Yenikapı,2025-08-03T13:00:00+00:00,Sahne Önü B,750.0,2762,True,138195,2025-06-01 17:45:41
Melike Şahin & Emre Fel - İstanbul Festivali,Festival Park Yenikapı,2025-08-03T13:00:00+00:00,Sahne Önü A,1000.0,869,True,138195,2025-06-01 17:45:41
Melike Şahin & Emre Fel - İstanbul Festivali,Festival Park Yenikapı,2025-08-03T13:00:00+00:00,VIP,1550.0,151,True,138195,2025-06-01 17:45:41
Mabel Matiz & Simge Sağın - İstanbul Festivali,Festival Park Yenikapı,2025-08-14T13:00:00+00:00,Genel İzleyici,500.0,9800,True,138203,2025-06-01 17:45:42
Mabel Matiz & Simge Sağın - İstanbul Festivali,Festival Park Yenikapı,2025-08-14T13:00:00+00:00,Sahne Önü B,750.0,2875,True,138203,2025-06-01 17:45:42
Mabel Matiz & Simge Sağın - İstanbul Festivali,Festival Park Yenikapı,2025-08-14T13:00:00+00:00,Sahne Önü A,1000.0,915,True,138203,2025-06-01 17:45:42
Mabel Matiz & Simge Sağın - İstanbul Festivali,Festival Park Yenikapı,2025-08-14T13:00:00+00:00,VIP,1550.0,188,True,138203,2025-06-01 17:45:42
Emir Can İğrek & Dedublüman - İstanbul Festivali,Festival Park Yenikapı,2025-08-06T13:00:00+00:00,Genel İzleyici,500.0,9920,True,138196,2025-06-01 17:45:42
Emir Can İğrek & Dedublüman - İstanbul Festivali,Festival Park Yenikapı,2025-08-06T13:00:00+00:00,Sahne Önü B,750.0,2953,True,138196,2025-06-01 17:45:42
Emir Can İğrek & Dedublüman - İstanbul Festivali,Festival Park Yenikapı,2025-08-06T13:00:00+00:00,Sahne Önü A,1000.0,961,True,138196,2025-06-01 17:45:42
Emir Can İğrek & Dedublüman - İstanbul Festivali,Festival Park Yenikapı,2025-08-06T13:00:00+00:00,VIP,1550.0,216,True,138196,2025-06-01 17:45:42
Gülşen & Buray - İstanbul Festivali,Festival Park Yenikapı,2025-08-10T13:00:00+00:00,Genel İzleyici,500.0,9913,True,138197,2025-06-01 17:45:42
Gülşen & Buray - İstanbul Festivali,Festival Park Yenikapı,2025-08-10T13:00:00+00:00,Sahne Önü B,750.0,2939,True,138197,2025-06-01 17:45:42
Gülşen & Buray - İstanbul Festivali,Festival Park Yenikapı,2025-08-10T13:00:00+00:00,Sahne Önü A,1000.0,964,True,138197,2025-06-01 17:45:42
